link,title,city,price,nb_rooms,nb_baths,type,address,liv_rooms,surface_area,prop_age,floor_nb,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse,Date
https://www.avito.ma/fr/castilla/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Tanger_55602600.htm,Appartement Ã  vendre 103 mÂ² Ã  Tanger,tanger,1650000.0,2,2,Vendre,castilla,2.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-06-30
https://www.avito.ma/fr/hay_al_horria/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Mohammedia_55602448.htm,Appartement Ã  vendre 88 mÂ² Ã  Mohammedia,mohammedia,909921.8982201332,2,2,Vendre,hay al horria,1.0,88.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-07-10
https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_vendre_44_5m%C2%B2_jusqu_au_80_5m%C2%B2_%C3%A0_casa_55258049.htm,"Appartement Ã  vendre 44,5mÂ² jusqu'au 80,5mÂ² Ã  casa",casablanca,1138536.9573595896,2,2,Vendre,mers sultan,2.0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-11-11
https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_120_m%C2%B2_%C3%A0_Casablanca_54892034.htm,Appartement 120 mÂ² Ã  Casablanca,casablanca,1081366.6297047036,2,2,Vendre,quartier des hÃ´pitaux,2.0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-03-15
https://www.avito.ma/fr/hay_karima/appartements/App_%C3%A0_vendre_a_hay_karima_55601727.htm,App Ã  vendre a hay karima,sale,1220208.854009427,2,2,Vendre,hay karima,1.0,2.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,2024-02-09
https://www.avito.ma/fr/hay_chmaou/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Sal%C3%A9_55601492.htm,Appartement Ã  vendre 98 mÂ² Ã  SalÃ©,sale,749000.0,3,2,Vendre,hay chmaou,1.0,3.0,3.0,3,False,True,False,False,False,False,False,False,False,False,False,2024-08-11
https://www.avito.ma/vi/54743695.htm,Appartement Ã  vendre 157 mÂ² Ã  Casablanca,casablanca,1949990.8473660024,3,2,Vendre,2 mars,3.0,3.0,3.0,4,False,False,False,False,False,False,False,False,False,False,False,2024-04-30
https://www.avito.ma/vi/53634704.htm,Appartement Ã  vendre 80 mÂ² Ã  Agadir,agadir,640000.0,3,2,Vendre,abattoirs,1.0,80.0,3.0,1,True,True,False,False,True,False,True,False,True,False,True,2024-02-20
https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Casablanca_55601389.htm,Appartement Ã  vendre 88 mÂ² Ã  Casablanca,casablanca,1531422.3770355866,3,2,Vendre,roches noires,3.0,3.0,3.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-01-15
https://www.avito.ma/fr/autre_secteur/appartements/Apparemment_60_m%C3%A8tre_avenue_nakhil_55601373.htm,Apparemment 60 mÃ¨tre avenue nakhil,tanger,1876486.1403811488,3,2,Vendre,autre secteur,3.0,3.0,3.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-01-28
https://www.avito.ma/fr/hay_essalam/appartements/Appartement__55601180.htm,Appartement,safi,330000.0,3,2,Vendre,hay essalam,2.0,60.0,3.0,2,False,False,False,False,False,False,False,False,False,False,True,2024-05-10
https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Bouskoura_55311174.htm,Appartement Ã  vendre 88 mÂ² Ã  Bouskoura,bouskoura,8500.0,2,2,Vendre,victoria,2.0,88.0,2.0,4,True,False,False,False,False,False,False,False,True,False,False,2024-01-10
https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_73_m%C2%B2_%C3%A0_Bouskoura_55318941.htm,Appartement Ã  vendre 73 mÂ² Ã  Bouskoura,bouskoura,8500.0,2,2,Vendre,victoria,2.0,73.0,2.0,4,True,True,False,False,False,False,False,False,True,False,False,2024-07-14
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Skhirat_55600823.htm,Appartement Ã  vendre 70 mÂ² Ã  Skhirat,skhirat,700000.0,2,2,Vendre,autre secteur,1.0,2.0,2.0,3,False,True,False,False,True,False,False,False,True,False,True,2024-08-02
https://www.avito.ma/fr/derb_omar/appartements/Appartement_%C3%A0_vendre_de_84_m%C2%B2_a_101_m%C2%B2_%C3%A0_Casa_55342232.htm,Appartement Ã  vendre de 84 mÂ² a 101 mÂ² Ã  Casa,casablanca,1324340.522237969,2,2,Vendre,derb omar,2.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-12-03
https://www.avito.ma/fr/bettana/appartements/Appartement_%C3%A0_vendre_%C3%A0_Bettana_Sal%C3%A9_110m2_55536336.htm,Appartement Ã  vendre Ã  Bettana SalÃ© 110m2,sale,1500000.0,4,2,Vendre,bettana,1.0,4.0,4.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-09-18
https://www.avito.ma/fr/hay_chmaou/appartements/appartement_a_vendre_a_Hay_chmaou_sal%C3%A9__55599889.htm,appartement a vendre a Hay chmaou salÃ©,sale,560000.0,2,1,Vendre,hay chmaou,1.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-11-12
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_K%C3%A9nitra_48914351.htm,Appartement Ã  vendre 130 mÂ² Ã  KÃ©nitra,kenitra,970000.0,3,1,Vendre,autre secteur,1.0,110.0,3.0,2,False,True,False,True,False,False,False,False,True,False,False,2024-03-18
https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Agadir_55599478.htm,Appartement Ã  vendre 65 mÂ² Ã  Agadir,agadir,700000.0,2,1,Vendre,hay salam,1.0,65.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-12-19
https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_57_m%C2%B2_%C3%A0_Tanger_55512549.htm,Appartement Ã  vendre 57 mÂ² Ã  Tanger,tanger,684000.0,2,1,Vendre,centre,2.0,2.0,2.0,3,True,True,False,False,True,False,False,False,False,False,False,2024-11-19
https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55599166.htm,Appartement Ã  vendre 50 mÂ² Ã  Casablanca,casablanca,340000.0,2,1,Vendre,sidi moumen,2.0,2.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False,2024-02-05
